cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"19573","0","201834","2128917","Lakeside Bank","Chicago","IL","60601","9/30/2018","11/14/2018","NM","55 West Wacker Drive","LAKESIDE BANCORP, INC.","7","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","4/1/1966","4/1/1966","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","http://WWW.LAKESIDEBANK.COM","1338807","24975","1363782","1524","1365306","1271422","1271422","206342","732718","173433","559285","160787","171575","0","","0","83642","0","696","0","84","0","612","9547","","0","9547","0","0","0","0","170","0","42713","163629","18245",""
"58961","0","4165907","5166134","Lakeside Bank","Lake Charles","LA","70605","9/30/2018","11/14/2018","NM","4735 Nelson Road","LAKESIDE BANCSHARES, INC.","4","0","0","4","0","Calcasieu","29340","Lake Charles, LA","7/26/2010","7/26/2010","12/13/2011","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Shreveport","Atlanta","Southern","Western","0","1","http://www.lakesidebanking.com","130682","1927","132609","67","132676","112865","112865","32022","37843","26049","11794","3272","38893","835","","0","15701","","4108","0","1378","769","1961","2","","0","2","0","0","1254","","0","0","9839","22183","1760",""
"21255","17181","391557","2224408","Lakeside Bank of Salina","Salina","OK","74365","9/30/2018","11/14/2018","SM","103 West Ferry","FIRST PRYOR BANCORP, INC.","1","0","0","6","0","Mayes","","","10/9/1973","10/9/1973","6/17/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","laksidebankofsalina.com","23171","617","23788","0","23788","11188","11188","545","392","0","392","0","10191","60","","283","3222","","9092","0","0","1627","7465","3","","0","3","0","0","0","","361","361","0","545","279",""
"21693","0","32766","1895007","Lakeside National Bank","Rockwall","TX","75087","9/30/2018","11/14/2018","N","2805 Ridge Road","A.N.B. HOLDING COMPANY, LTD.","1","0","0","7","0","Rockwall","19100","Dallas-Fort Worth-Arlington, TX","7/12/1974","7/12/1974","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.Lakeside.bank","21046","195","21241","0","21241","18358","18358","2323","6420","3057","3363","712","8896","7","","0","1451","","1432","0","0","797","635","0","","0","0","0","0","0","","1","1","1262","1061","195",""
"22217","9250","635457","3825183","Lakeside State Bank","Oologah","OK","74053","9/30/2018","11/14/2018","NM","6695 East 400 Rd","LAKESIDE HOLDING CORPORATION","2","0","0","8","1","Rogers","46140","Tulsa, OK","2/9/1976","2/9/1976","8/18/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.lakesidebankok.com","30873","292","31165","0","31165","16844","16844","2497","1876","0","1876","160","11224","1087","","2121","3892","","8243","0","0","3509","4734","65","","0","65","0","0","0","","115","0","734","1763","292",""
"14913","0","184142","1363681","Lakestone Bank & Trust","Lapeer","MI","48446","9/30/2018","11/14/2018","SM","83 West Nepessing Street","COUNTY BANK CORP","13","0","0","4","0","Lapeer","19820","Detroit-Warren-Dearborn, MI","1/1/1902","1/1/1934","12/5/2016","Stock","0","1","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.lakestonebank.com","357215","1731","358946","0","358946","271463","271463","9134","120018","68496","51522","6411","126960","8940","","1169","57217","0","10101","0","0","8287","1814","18995","","2890","15755","0","350","0","0","65","0","1211","7923","1731",""
"57785","0","3253834","3253825","Lakeview Bank","Lakeville","MN","55044","9/30/2018","11/14/2018","NM","9725 163rd Street West","LAKEVIEW BANCORPORATION, INC.","2","0","0","4","0","Dakota","33460","Minneapolis-St. Paul-Bloomington, MN-WI","7/8/2004","7/8/2004","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.lakeview-bank.com","75175","1020","76195","0","76195","58175","58175","2832","21611","16475","5136","2104","30947","681","","32","17409","","259","0","38","100","121","320","","0","320","0","0","0","","695","695","2475","357","949",""
"1964","0","767255","1067354","Lamar Bank and Trust Company","Lamar","MO","64759","9/30/2018","11/14/2018","SM","1000 Broadway","LAMAR TRUST BANCSHARES, INC.","1","0","0","4","1","Barton","","","3/25/1925","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","West","0","1","http://www.lbt.com","104147","1268","105415","0","105415","83255","83255","11144","24397","9460","14937","0","30120","17594","","7487","10522","","3800","0","7","1798","1995","351","","292","59","0","0","0","","0","0","310","10834","1268",""
"23597","0","2161","1136906","Lamar National Bank","Paris","TX","75460","9/30/2018","11/14/2018","N","200 South Collegiate","LAMAR BANCORPORATION, INC.","1","0","0","4","1","Lamar","","","10/26/1981","10/26/1981","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://www.lamarnational.com","109402","1090","110492","0","110492","55746","55746","909","4254","4254","0","7534","43049","0","","15007","32434","","7213","275","29","2300","4609","93","","0","93","0","0","0","","12","12","909","0","1090",""
"8681","0","519874","0","Lamont Bank of St. John","Saint John","WA","99171","9/30/2018","11/14/2018","NM","E 6 Front St","","1","0","0","2","0","Whitman","","","1/1/1908","1/1/1934","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","","17181","333","17514","0","17514","61","61","0","0","0","0","0","61","0","","11338","2456","","3593","0","0","0","3593","66","","0","66","0","0","0","","147","147","0","0","302",""
