cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"105","13834","629148","1099663","Bank of Cave City","Cave City","AR","72521","9/30/2018","11/14/2018","SM","137 S Main Street","SHARP BANCSHARES, INC.","4","0","0","2","1","Sharp","","","7/1/1906","1/1/1934","10/13/2016","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","www.bankofcavecity.com","15754","14694","3691","14510","8946","3300","7098","5827","547","415","309"
"58479","0","3588312","4974453","Bank of Central Florida","Lakeland","FL","33813","9/30/2018","11/14/2018","NM","5015 South Florida Avenue","BANK OF CENTRAL FLORIDA HOLDING COMPANY","3","0","0","4","0","Polk","29460","Lakeland-Winter Haven, FL","3/19/2007","3/19/2007","6/15/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","www.bankofcentralflorida.com","3489","7230","3030","4979","2610","100","7876","2373","1984","501","3018"
"9023","10239","1014125","2234920","Bank of Charles Town","Charles Town","WV","25414","9/30/2018","11/14/2018","NM","111 East Washington Street","POTOMAC BANCSHARES, INC.","8","0","1","4","0","Jefferson","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","2/20/1870","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.mybct.com","47231","47973","11215","29599","37048","17342","30408","6529","12367","7831","3681"
"2327","0","815754","2355870","Bank of Cherokee County","Hulbert","OK","74441","9/30/2018","11/14/2018","SM","Main And Broadway","GRANDVIEW BANKSHARES, INC.","3","0","0","4","0","Cherokee","","","12/1/1908","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.bankofcherokeecounty.net","8804","12746","5570","13717","1844","419","7988","4305","3369","314","0"
"10885","0","318639","0","Bank of Chestnut","Chestnut","IL","62518","9/30/2018","11/14/2018","NM","100 Olive Street","","1","0","0","8","0","Logan","","","1/1/1902","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.bankofchestnut.com","2496","2811","682","2539","1554","532","630","0","630","0","0"
"33653","0","908508","0","Bank of China","New York","NY","10018","9/30/2018","11/14/2018","OI","1045 Avenue Of The Americas","","1","0","0","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1912","11/16/1981","1/23/2017","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","0","","","","","","","","","","","",""
"6123","12293","753324","1951770","Bank of Clarke County","Berryville","VA","22611","9/30/2018","11/14/2018","SM","2 East Main Street","EAGLE FINANCIAL SERVICES, INC.","12","0","0","4","0","Clarke","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","4/1/1881","1/1/1934","3/31/2006","Stock","0","1","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","http://www.bankofclarke.com","36602","26980","19764","34451","6739","2628","45404","12390","18088","14425","501"
"16953","0","76153","1065266","Bank of Clarks","Clarks","NE","68628","9/30/2018","11/14/2018","NM","301 N Green","CLARK BANCSHARES, INC.","2","0","0","2","0","Merrick","24260","Grand Island, NE","2/15/1937","11/24/1950","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","http://www.clarks.net/bankofclarks","4555","794","1476","2172","1621","80","500","500","0","0","0"
"13167","15829","720344","1119404","Bank of Clarkson","Clarkson","KY","42726","9/30/2018","11/14/2018","NM","101 East Main Street","FIRST BRECKINRIDGE BANCSHARES, INC.","2","0","0","4","0","Grayson","","","1/1/1904","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.bankofclarkson.com","19533","10645","4962","15998","7987","1231","3533","827","1283","1423","0"
"26955","14086","144034","1399774","Bank of Cleveland","Cleveland","TN","37311","9/30/2018","11/14/2018","NM","75 Bobby Taylor Avenue","BRADLEY COUNTY FINANCIAL CORP.","5","0","0","4","0","Bradley","17420","Cleveland, TN","5/8/1987","5/8/1987","7/28/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","http://www.bankofcleveland.com","15926","9978","4780","14212","6830","82","3743","301","2442","1000","0"
"16980","13686","255659","1053272","Bank of Colorado","Fort Collins","CO","80525","9/30/2018","11/14/2018","NM","1609 East Harmony Road","PINNACLE BANCORP, INC.","49","0","1","4","0","Larimer","22660","Fort Collins, CO","1/1/1900","1/26/1951","7/1/2017","Stock","0","1","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","0","www.bankofcolorado.com","175082","162335","66828","186302","68210","16077","147384","32370","73283","33203","8528"
