cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"14662","12475","338646","1098161","TrustBank","Olney","IL","62450","9/30/2018","11/14/2018","NM","600 East Main Street","RICH LAND BANCORP, INC.","6","0","1","4","1","Richland","","","9/13/1912","8/7/1934","7/23/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","https://trustbank.net","25025","548","454","0","396","814","1798","69","0","749","1985","5464","6371","6377","0","2734"
"31945","7635","677176","0","TrustCo Bank","Glenville","NY","12302","9/30/2018","11/14/2018","SA","1 Sarnowski Drive","","148","0","1","5","0","Schenectady","10580","Albany-Schenectady-Troy, NY","1/1/1925","10/26/1978","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","0","www.trustcobank.com","531309","0","23","0","108","230645","48059","2678","11043","606","10043","92431","72782","62891","0","10672"
"4988","15770","342634","1079562","Trustmark National Bank","Jackson","MS","39201","9/30/2018","11/14/2018","N","248 East Capitol Street","TRUSTMARK CORPORATION","218","0","1","4","0","Hinds","27140","Jackson, MS","12/19/1889","1/1/1934","4/7/2017","Stock","0","1","OCC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","0","http://www.trustmark.com","2808516","183577","92","53","324","608769","88862","136909","1303798","47872","57889","60735","269369","15047","35220","80924"
"28515","1754","539872","3601332","TrustTexas Bank, SSB","Cuero","TX","77954","9/30/2018","11/14/2018","SB","121 East Courthouse","TRUSTTEXAS MUTUAL HOLDING COMPANY","6","0","0","8","0","De Witt","","","1/1/1921","10/11/1935","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.TrustTexasBank.com","95462","0","0","0","0","19986","23150","1440","2794","0","0","0","1426","15634","31032","0"
"57825","0","3290240","3925065","Truxton Trust Company","Nashville","TN","37205","9/30/2018","11/14/2018","SM","4525 Harding Rd., Suite 300","TRUXTON CORPORATION","1","0","0","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","8/30/2004","8/30/2004","5/5/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.truxtontrust.com","108964","751","2313","36","0","6390","2209","1161","12909","25329","7940","2298","4121","28571","14936","9564"
"17208","14249","186548","0","TSB Bank","Lomira","WI","53048","9/30/2018","11/14/2018","NM","695 East Avenue","","3","0","0","4","0","Dodge","","","4/1/1905","4/20/1953","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","http://www.tsbbanking.com","18171","0","0","0","0","0","0","0","0","1750","195","46","2416","13529","235","195"
"29059","2842","767572","0","Tucumcari Federal Savings and Loan Association","Tucumcari","NM","88401","9/30/2018","11/14/2018","SA","301 S First St","","1","0","0","5","0","Quay","","","7/1/1934","11/2/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Albuquerque","Dallas","Western","West","0","1","www.tucfed.com","8936","5781","922","0","0","0","101","75","1434","321","0","302","0","0","0","92"
"58586","0","3626184","0","Turtle Mountain State Bank","Belcourt","ND","58316","9/30/2018","11/14/2018","NM","908 Chief Little Shell St.","","1","0","0","7","1","Rolette","","","12/3/2007","12/3/2007","9/14/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.tmstatebank.com","1286","0","0","220","67","0","0","0","0","750","249","0","0","0","0","999"
"32908","15161","1418255","3591611","Tustin Community Bank","Tustin","CA","92780","9/30/2018","11/14/2018","NM","13891 Newport Ave, Suites 10","SADDLEBACK BANCORP","1","0","0","4","1","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","4/23/1981","2/16/1990","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://tustincmtybank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35261","0","2905761","3289477","Twin City Bank","Longview","WA","98632","9/30/2018","11/14/2018","NM","729 Vandercook Way","TWIN CITY BANCORP, INC.","2","0","0","4","0","Cowlitz","31020","Longview, WA","4/17/2000","4/17/2000","9/28/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Portland","San Francisco","Western","West","0","1","www.twincitybank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
