cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"12769","15741","578255","1108163","First United Bank","Dimmitt","TX","79027","9/30/2018","11/14/2018","NM","201 North Broadway","PLAINS BANCORP, INC.","17","0","0","2","1","Castro","","","3/7/1907","1/1/1934","1/1/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.firstunited.net","498045","28489","13263","487","166343","519173","658","4297","10","","","114102"
"4857","10579","61122","1132672","First United Bank & Trust","Oakland","MD","21550","9/30/2018","11/14/2018","NM","19 South Second Street","FIRST UNITED CORPORATION","24","0","1","4","0","Garrett","","","1/1/1900","1/1/1934","6/6/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.mybank.com","614755","58918","37320","2387","155688","374228","441","267","1","","","67874"
"4239","12231","509950","1058398","First United Bank and Trust Company","Durant","OK","74701","9/30/2018","11/14/2018","NM","1400 West Main Street","DURANT BANCORP, INC.","69","0","1","4","1","Bryan","","","1/1/1900","1/1/1934","11/10/2016","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","0","www.firstunitedbank.com","3042787","211116","148092","5301","1320087","2539739","2723","26126","54","","","456702"
"34150","0","2356091","2356082","First United Bank and Trust Company","Madisonville","KY","42431","9/30/2018","11/14/2018","NM","162 North Main Street","FIRST UNITED BANCORP, INC.","4","0","0","4","1","Hopkins","","","3/29/1996","3/29/1996","11/4/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","www.efirstunitedbank.com","143329","13287","8024","336","34136","81441","77","988","3","","","14112"
"7886","12526","127224","2687601","First United National Bank","Fryburg","PA","16326","9/30/2018","11/14/2018","N","19535 Route 208","FRYBURG BANKING COMPANY, INC.","6","0","0","6","0","Clarion","","","8/2/1909","1/1/1934","2/20/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.fun-bank.com","163390","20468","17165","626","54251","56692","77","3025","10","","","5520"
"17077","10112","259330","1086168","First US Bank","Birmingham","AL","35243","9/30/2018","11/14/2018","NM","3291 U.S. Hwy. 280, Ste 100","FIRST US BANCSHARES, INC.","20","0","1","4","0","Clarke","","","1/21/1952","1/21/1952","8/31/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.firstusbank.com","485545","29371","30360","1143","233252","203477","268","2350","7","","","36141"
"22738","0","207872","1027992","First Utah Bank","Salt Lake City","UT","84109","9/30/2018","11/14/2018","SM","3826 South 2300 East","FIRST UTAH BANCORPORATION","6","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","10/19/1978","10/19/1978","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://firstutahbank.com","162056","9304","8302","281","63091","97510","165","926","2","","","12542"
"58201","0","3350658","4547286","First Vision Bank of Tennessee","Tullahoma","TN","37388","9/30/2018","11/14/2018","SM","1401 North Jackson Street","FIRST VISION FINANCIAL, INC.","4","0","0","4","0","Coffee","","","11/28/2005","11/28/2005","1/10/2008","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.firstvisionbank.com","115836","6908","7344","150","49475","62626","108","2961","7","","","21794"
"10307","10396","234739","1081716","First Volunteer Bank","Chattanooga","TN","37402","9/30/2018","11/14/2018","NM","728 Broad Street","FIRST VOLUNTEER CORPORATION","24","0","1","4","0","Hamilton","16860","Chattanooga, TN-GA","5/3/1904","1/1/1934","7/28/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.firstvolunteer.com","568591","45564","37496","1509","163315","263478","391","4275","13","","","18105"
"13083","14048","34742","2628994","First Western Bank","Booneville","AR","72927","9/30/2018","11/14/2018","SM","80 W Main St","FIRST WESTERN BANCSHARES EMPLOYEE STOCK OWNERSHIP TRUST","10","0","0","4","0","Logan","","","4/18/1910","1/1/1934","5/27/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","http://www.fwbank.com","269556","14870","15293","685","155741","73089","128","1039","4","","","22469"
"19123","0","687951","1127650","First Western Bank & Trust","Minot","ND","58701","9/30/2018","11/14/2018","SM","900 South Broadway","WESTBRAND, INC.","5","0","1","4","0","Ward","","","5/11/1964","5/11/1964","8/6/2011","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.firstwestern.bank","530417","20985","35912","1648","353968","337365","353","6562","16","","","39376"
"31972","7674","715470","0","First Western Federal Savings Bank","Rapid City","SD","57709","9/30/2018","11/14/2018","SA","402 Main Street","","1","0","0","5","1","Pennington","39660","Rapid City, SD","6/6/1979","6/6/1979","7/21/2011","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","www.fwfsb.com","36789","510","0","0","30626","7466","15","0","0","","","550"
"57607","0","3158546","3189906","First Western Trust Bank","Denver","CO","80202","9/30/2018","11/14/2018","NM","1900 16th St., Suite 1200","FIRST WESTERN FINANCIAL, INC.","10","0","1","4","0","Denver","19740","Denver-Aurora-Lakewood, CO","3/17/2004","3/17/2004","4/22/2013","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.myfw.com","367517","8316","1184","7","61826","519199","556","0","0","","","86599"
"19742","12727","222754","1840687","First Westroads Bank, Inc.","Omaha","NE","68118","9/30/2018","11/14/2018","SM","15750 W Dodge Rd","AMERIWEST CORPORATION","2","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","8/15/1967","8/15/1967","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","WWW.FIRSTWESTROADS.BANK","100584","6649","1917","166","8689","118243","164","0","0","","","5262"
"254","0","740249","1200571","First Whitney Bank and Trust","Atlantic","IA","50022","9/30/2018","11/14/2018","NM","223 Chestnut Street","WHITNEY CORPORATION OF IOWA","2","0","0","2","1","Cass","","","1/1/1907","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.firstwhitneybank.com","103864","6830","6371","340","40886","71861","87","1835","4","","","9003"
"11063","0","491224","1075612","First-Citizens Bank & Trust Company","Raleigh","NC","27601","9/30/2018","11/14/2018","NM","239 Fayetteville Street","FIRST CITIZENS BANCSHARES, INC.","546","0","1","4","0","Wake","39580","Raleigh, NC","1/1/1898","1/1/1934","10/1/2018","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","0","https://www.firstcitizens.com","16899858","1526205","483120","32619","1946052","12798652","15704","30610","90","","","405994"
"13599","0","631150","1995998","First-Lockhart National Bank","Lockhart","TX","78644","9/30/2018","11/14/2018","N","111 Main Street","LOCKHART BANKSHARES, INC.","3","0","0","4","0","Caldwell","12420","Austin-Round Rock, TX","1/9/1934","1/9/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.firstlockhart.com","140967","8172","2758","140","36818","93989","165","0","0","","","14249"
"19288","52465","427353","3017915","Firstar Bank","Sallisaw","OK","74955","9/30/2018","11/14/2018","NM","1720 East Cherokee Street","FIRSTAR FINANCIAL CORP.","7","0","1","4","0","Sequoyah","22900","Fort Smith, AR-OK","11/19/1964","11/19/1964","6/4/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.firstar-bank.com","238951","15136","8900","306","65304","245259","297","699","1","","","40238"
"8663","11468","436159","1132104","FirstBank","Nashville","TN","37201","9/30/2018","11/14/2018","NM","211 Commerce St., Suite 300","FB FINANCIAL CORPORATION","96","0","1","4","0","Davidson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","1/1/1906","1/1/1934","6/4/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","0","www.firstbankonline.com","1900187","154748","117395","4092","655176","2122304","1740","12445","36","","","397507"
"14331","14320","296456","1133370","FirstBank","Antlers","OK","74523","9/30/2018","11/14/2018","SM","100 North High Street","FIRST ANTLERS BANCORPORATION, INC.","6","0","0","8","1","Pushmataha","","","1/1/1901","5/3/1934","3/31/2014","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.firstbank-ok.com","197895","17082","8649","255","116664","74167","150","3197","8","","","47873"
"18714","11104","288853","1060627","FirstBank","Lakewood","CO","80215","9/30/2018","11/14/2018","SM","10403 West Colfax Avenue","FIRSTBANK HOLDING COMPANY","118","0","1","5","0","Jefferson","19740","Denver-Aurora-Lakewood, CO","2/27/1963","2/27/1963","11/23/2013","Stock","0","1","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","0","https://www.efirstbank.com/","9656312","920549","252265","13089","887872","6774289","9076","17858","54","","","180722"
"5486","11622","540056","1020854","FirstBank of Nebraska","Wahoo","NE","68066","9/30/2018","11/14/2018","SM","201 East 5th","BANK MANAGEMENT, INC.","4","0","0","2","1","Saunders","36540","Omaha-Council Bluffs, NE-IA","7/15/1882","1/1/1934","12/19/2013","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","www.firstbankne.com","129629","8204","5638","503","54336","51619","62","0","0","","","3643"
"30387","5266","510871","2744894","FirstBank Puerto Rico","Santurce","PR","909","9/30/2018","11/14/2018","NM","1519 Ave Ponce De Leon","FIRST BANCORP","12","1","1","4","0","San Juan","41980","San Juan-Carolina-Caguas, PR","1/17/1949","1/17/1949","1/1/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","San Juan","New York","Northeastern","Southeast","58","1","http://www.1firstbank.com","5437068","474857","194887","19594","2389703","3467385","3719","9944","34","","","589440"
"3387","0","840363","1108707","FirstBank Southwest","Amarillo","TX","79120","9/30/2018","11/14/2018","NM","2401 South Georgia","FIRSTPERRYTON BANCORP, INC.","9","0","0","4","1","Potter","11100","Amarillo, TX","1/1/1907","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.fbsw.com","431858","29837","13961","669","106901","416092","558","1275","4","","","95272"
"35028","0","2746263","3121344","FirstCapital Bank of Texas, National Association","Midland","TX","79701","9/30/2018","11/14/2018","N","310 W. Wall St., Suite 100","FIRST BANCSHARES OF TEXAS, INC.","11","0","0","4","0","Midland","33260","Midland, TX","11/17/1998","11/17/1998","9/2/2017","Stock","0","1","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","https://www.FCBTexas.com","430748","12667","8464","188","229515","546663","667","1092","4","","","84841"
"58537","0","3629484","0","FirstCity Bank of Commerce","Palm Beach Garde","FL","33408","9/30/2018","11/14/2018","NM","11760 Us Hwy. 1, Suite 102w","","2","0","0","4","0","Palm Beach","33100","Miami-Fort Lauderdale-West Palm Beach, FL","8/27/2007","8/27/2007","10/17/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","www.firstcityboc.com","39331","562","465","7","19373","40080","66","0","0","","","7812"
"17478","0","536554","3391147","FirsTier Bank","Kimball","NE","69145","9/30/2018","11/14/2018","NM","115 South Walnut","FIRSTIER II BANCORP.","7","0","1","2","1","Kimball","","","7/15/1955","7/15/1955","10/1/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.firstierbanks.com","167878","11622","5623","332","86410","102169","114","431","1","","","13300"
"4660","11567","916857","4328083","FirstOak Bank","Independence","KS","67301","9/30/2018","11/14/2018","SM","113 North Penn Avenue","FNB BANCSHARES, INC.","5","0","1","2","1","Montgomery","","","1/1/1881","1/1/1934","5/4/2018","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.firstoakbank.com","86396","6369","1920","121","27191","66135","102","0","0","","","10301"
"26647","2706","932978","0","Firstrust Savings Bank","Conshohocken","PA","19428","9/30/2018","11/14/2018","SB","15 East Ridge Pike","","18","0","1","4","1","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1934","3/19/1986","3/20/2017","Stock","0","1","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","www.firstrust.com","1041075","53808","55559","3205","526892","1563865","1470","4132","13","","","136599"
