cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"57764","0","3275939","3551389","National Bank of Commerce","Birmingham","AL","35223","9/30/2018","11/14/2018","N","600 Luckie Drive Suite 200","NATIONAL COMMERCE CORPORATION","39","0","1","4","0","Jefferson","13820","Birmingham-Hoover, AL","6/21/2004","6/21/2004","8/1/2018","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","0","nationalbankofcommerce.com","3246839","52970","31152","97719","151740","66448","30065","1153058","180569","431718","608941","388614","49564"
"14266","14585","775456","2665739","National Bank of Commerce","Superior","WI","54880","9/30/2018","11/14/2018","N","1127 Tower Avenue","NATCOM BANCSHARES,INC.","7","0","1","4","1","Douglas","20260","Duluth, MN-WI","2/7/1934","4/23/1934","1/22/2013","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.nbcbanking.com","441083","4329","6274","23916","14550","5376","6629","73131","12798","82254","127653","69277","8546"
"18734","12245","502111","0","National Bank of New York City","Flushing","NY","11354","9/30/2018","11/14/2018","N","13629 38th Avenue","","1","0","0","4","1","Queens","35620","New York-Newark-Jersey City, NY-NJ-PA","4/1/1963","4/1/1963","4/1/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.nbnyc.com","195148","0","0","10633","19859","657","0","10288","19819","75010","58256","626","0"
"16718","13012","991041","1132618","National Bank of Petersburg","Petersburg","IL","62675","9/30/2018","11/14/2018","N","321 North Sixth Street","NBP FINANCIAL SERVICES, INC.","2","0","0","2","1","Menard","44100","Springfield, IL","7/27/1948","7/27/1948","3/31/2006","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.nbpweb.com","72043","1033","3015","7248","6477","24","66","17877","6317","15953","13406","377","75"
"16752","0","760340","3595431","National Bank of St. Anne","St. Anne","IL","60964","9/30/2018","11/14/2018","N","158 West Station Street","ST. ANNE BANCORP, INC.","1","0","0","2","0","Kankakee","28100","Kankakee, IL","12/4/1948","12/4/1948","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","http://www.nbsail.net","43441","97","590","2329","4603","1050","901","3961","5926","6353","14445","2870","281"
"32612","8527","99376","2398082","NATIONAL COOPERATIVE BANK, N.A.","Hillsboro","OH","45133","9/30/2018","11/14/2018","N","139 South High Street","NATIONAL CONSUMER COOPERATIVE BANK","1","0","0","4","0","Highland","","","9/16/1988","9/16/1988","9/1/2016","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","0","www.ncb.coop","1755062","9171","65528","89551","119210","88521","127406","230850","35332","140494","209823","621373","1675"
"10044","10433","722544","1202052","National Exchange Bank and Trust","Fond Du Lac","WI","54935","9/30/2018","11/14/2018","N","130 South Main Street","NEB CORPORATION","32","0","0","4","0","Fond Du Lac","22540","Fond du Lac, WI","12/20/1933","1/1/1934","9/10/2016","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.nebat.com","1116749","16998","16705","45379","14737","2388","11650","489778","94036","201302","163306","27148","25241"
"3214","10765","322056","3059773","National United","Gatesville","TX","76528","9/30/2018","11/14/2018","N","905 Main Street","NATIONAL UNITED BANCSHARES, INC.","6","0","0","4","0","Coryell","28660","Killeen-Temple, TX","8/21/1889","1/1/1934","1/26/2017","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.nationalunited.com","367295","6146","11071","17777","13994","14887","12902","63693","33275","37459","56225","47186","51439"
"34710","14970","2729677","0","Nationwide Bank","Columbus","OH","43215","9/30/2018","11/14/2018","SA","1 Nationwide Plaza, 1-14-401","","2","0","0","9","0","Franklin","18140","Columbus, OH","9/1/1998","9/1/1998","3/31/2016","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.nationwidebank.com","3039514","5145","20366","70307","604387","706023","120845","257461","4477","152503","460235","550596","84244"
"27026","10959","664653","2943419","Native American Bank, National Association","Denver","CO","80202","9/30/2018","11/14/2018","N","999 18th Street","NATIVE AMERICAN BANCORPORATION CO.","2","0","1","4","0","Denver","19740","Denver-Aurora-Lakewood, CO","7/27/1987","7/27/1987","7/11/2018","Stock","0","1","OCC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.nabna.com","89429","101","264","128","48","87","0","18453","15770","26654","18043","6568","0"
