cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"226","0","969844","1208380","Guthrie County State Bank","Panora","IA","50216","9/30/2018","11/14/2018","NM","505 East Main Street","GUTHRIE COUNTY BANCSHARES, INC.","2","0","0","2","1","Guthrie","19780","Des Moines-West Des Moines, IA","10/17/1931","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.gcsbank.com","0.284955327733235","4.76333753314403E-02","0","-0.069988189493023","0","0.118272090327133","0","0.125796144195921","-0.489788163769355","-0.183686355547902","0","-0.186643336249635","0.100814856926284","-0.314459049544995","0"
"35249","0","2853358","3101010","Gwinnett Community Bank","Duluth","GA","30096","9/30/2018","11/14/2018","NM","2775 Buford Highway","COMMUNITY FINANCIAL HOLDING COMPANY, INC.","3","0","0","4","0","Gwinnett","12060","Atlanta-Sandy Springs-Roswell, GA","10/18/1999","10/18/1999","8/17/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","http://www.gwinnettcommunitybank.com","0.361533284959532","0.437921618399292","3.43051277405327","-0.102247882463177","","0.279046590814716","-0.210748155953635","0.312006949245688","-0.128511991775233","0","","0","0","0",""
"9264","0","274641","3366387","H. F. Gehant Banking Co.","West Brooklyn","IL","61378","9/30/2018","11/14/2018","NM","2514 Johnson Street","H.F. GEHANT BANCORP, INC.","2","0","0","2","1","Lee","","","6/11/1897","1/1/1934","1/26/2012","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.gehantbank.com","-0.029494356132061","-4.34180890613552E-02","0","0","0","-0.134123169777579","","-0.134123169777579","0","0","","0","0","0",""
"25093","11840","245016","2817930","Habib American Bank","New York","NY","10016","9/30/2018","11/14/2018","NM","99 Madison Avenue","MAHAM BETEILIGUNGSGESELLSCHAFT AG","7","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","4/16/1984","4/16/1984","1/1/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.habbank.com","-2.88379124324237E-02","-1.41846998967341E-02","","0","0","-0.115918073828007","","-0.115918073828007","-0.253013917893738","0","","0","","0",""
"28222","1168","1008076","0","Haddon Savings Bank","Haddon Heights","NJ","8035","9/30/2018","11/14/2018","SB","201 White Horse Pike","","2","0","0","5","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/1/1905","9/17/1940","12/1/2011","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","haddonsavings.com","0.093780549327941","0.109475762603764","0","0","","0.120201337239877","0","0.129162089773419","0","0","","0","","0",""
"28589","1904","365576","4415424","Hamilton Bank","Towson","MD","21286","9/30/2018","11/14/2018","NM","501 Fairmount Avenue","HAMILTON BANCORP, INC.","7","0","0","4","0","Baltimore","12580","Baltimore-Columbia-Towson, MD","1/1/1915","5/20/1937","2/8/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.hamilton-bank.com","0.288433118827752","0.14873121686879","0","0.195304056373702","0","0.144017950077574","0","0.156080144517667","1.57111710963455","8.49335792868234E-02","","8.49335792868233E-02","2.95355773327652","-7.28707229542777E-03",""
"11113","12884","291611","0","Hamlin Bank and Trust Company","Smethport","PA","16749","9/30/2018","11/14/2018","NM","333 West Main Street","","8","0","1","6","0","Mckean","","","12/31/1863","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","hamlinbank.com","0.35231816010432","0.127689827030196","0","0","0","0.141209654432693","0","0.141245334925967","1.01891059383164","0","","0","0","0",""
"8128","15516","545846","1144237","Hancock Bank & Trust Company","Hawesville","KY","42348","9/30/2018","11/14/2018","NM","220 Main Street","HANCOCK BANCORP, INC.","6","0","0","4","1","Hancock","36980","Owensboro, KY","7/1/1888","1/1/1934","3/11/2013","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","http://www.hancockbankonline.com","-6.08248165251423E-04","-1.98423719421525E-02","-0.327855415761649","0","0","3.50635280212745E-03","-0.021689497716895","5.71302068827617E-03","-9.28751756644157E-02","0.565971669584593","-0.481447963800905","0.631199278629396","0.149120357442055","0.957474957474957",""
"29035","2808","888271","0","Hancock County Savings Bank, F.S.B.","Chester","WV","26034","9/30/2018","11/14/2018","SA","351 Carolina Avenue","","3","0","0","5","0","Hancock","48260","Weirton-Steubenville, WV-OH","1/1/1899","1/2/1935","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Scott Depot","Cleveland","Northeastern","Northeast","0","1","www.hcsbank.com","1.85909178851742E-02","-4.77904120934895E-04","0","0","0","-4.92874169780328E-04","0","-4.97320824281222E-04","0","0.682564454710032","","0.682564454710032","0","0.862370849436075",""
"12441","11602","463735","1086533","Hancock Whitney Bank","Gulfport","MS","39501","9/30/2018","11/14/2018","NM","1 Hancock Plaza","HANCOCK WHITNEY CORPORATION","204","0","1","4","0","Harrison","25060","Gulfport-Biloxi-Pascagoula, MS","10/9/1899","1/1/1934","7/13/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","0","www.hancockwhitney.com","0.166799929390353","0.108645857370265","1.92946391160491E-02","0.243752637413523","0.240817804235172","-6.77226298681648E-03","1.62551986900689E-02","-1.40223767572832E-02","5.57282707710726E-02","1.783999922033","4.44207768481387","1.49004096623817","0.747255563623937","2.7213677987542","0"
