cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,sccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"1609","13849","222156","1128554","First State Bank of Wyoming","Wyoming","MN","55092","9/30/2018","11/14/2018","NM","26741 Felton","WYOMING BANCSHARES, INC.","2","0","0","7","0","Chisago","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/4/1914","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.fsbwyoming.com","92971","43550","0","43550","49421","0","0","0","0","0","0","0","0","0","0","","","20830","35898","29304","29304","0","6594","6594","0","0","0","0","0","92971","92971","0","0","0","0",""
"1781","11562","232847","1209985","First State Bank Shannon-Polo","Shannon","IL","61078","9/30/2018","11/14/2018","NM","1 South Linn Street","SHANNON BANCORP, INC.","3","0","0","2","1","Carroll","","","1/14/1930","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://www.fsbshannon-polo.com","38991","28685","0","28685","10278","0","0","0","0","0","0","0","28","28","0","","","37510","27690","25785","25785","0","1905","1905","0","0","0","0","0","38991","38963","0","0","0","0",""
"9770","13074","823656","2399678","First State Bank Southwest","Pipestone","MN","56164","9/30/2018","11/14/2018","SM","202 Second Street Southeast","FIRST STATE BANK SOUTHWEST KSOP PLAN AND TRUST","6","0","0","2","1","Pipestone","","","1/1/1903","1/1/1934","10/26/2011","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","0","1","http://www.firststatebanksw.com","82640","62632","0","62632","20008","0","0","0","0","0","0","0","0","0","0","","","40157","60616","41812","41812","0","18804","18804","0","0","0","0","0","82640","82640","0","0","0","0",""
"19106","11713","633341","1119440","First State Bank, Inc.","Central City","KY","42330","9/30/2018","11/14/2018","NM","110 North First Street","COMMUNITY BANCORP OF KENTUCKY, INC.","5","0","0","8","1","Muhlenberg","","","1/4/1904","4/16/1964","1/4/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","www.fsbky.com","18894","7761","0","7761","11133","0","0","0","0","0","0","0","0","0","0","","","13751","4055","2044","2044","0","0","0","0","2011","1354","657","17785","1109","18894","300","292","0","0",""
"17323","13125","707354","1099917","First State Community Bank","Farmington","MO","63640","9/30/2018","11/14/2018","NM","201 East Columbia Street","FIRST STATE BANCSHARES, INC.","53","0","0","4","0","Saint Francois","","","5/11/1954","5/11/1954","4/28/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","http://www.fscb.com","249885","149413","0","149413","84163","10847","0","10247","0","600","0","5462","0","0","0","","","177980","136626","38707","38707","0","87672","87672","0","10247","5189","5058","0","249885","249885","0","0","0","0","0"
"4977","10972","485559","1094640","First Tennessee Bank, National Association","Memphis","TN","38101","9/30/2018","11/14/2018","N","165 Madison Avenue","FIRST HORIZON NATIONAL CORPORATION","303","0","1","4","0","Shelby","32820","Memphis, TN-MS-AR","1/1/1864","1/1/1934","11/30/2017","Stock","0","1","OCC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","0","https://www.firsttennessee.com","4631407","4519247","98","4519149","23701","65074","0","0","0","0","65074","0","23385","0","23385","","","3639658","4406062","2234965","2234965","0","1913015","1913015","0","258082","179912","78170","10000","4598022","4608022","0","0","1977162","0","82406"
"11935","0","444350","1100813","First Texas Bank","Georgetown","TX","78626","9/30/2018","11/14/2018","NM","900 Austin Avenue","FIRST TEXAS BANCORP, INC.","8","0","0","4","0","Williamson","12420","Austin-Round Rock, TX","1/1/1898","1/1/1934","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://WWW.FIRSTTEXASBANK.NET","350579","350579","0","350579","0","0","0","0","0","0","0","0","0","0","0","","","38887","1138","1138","1138","0","0","0","0","0","0","0","316056","34523","350579","0","0","0","0",""
"3293","0","875758","1100813","First Texas Bank","Lampasas","TX","76550","9/30/2018","11/14/2018","NM","501 East Third Street","FIRST TEXAS BANCORP, INC.","2","0","0","8","0","Lampasas","28660","Killeen-Temple, TX","10/2/1884","1/1/1934","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.firsttexbank.com","61760","61760","0","61760","0","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","53907","7853","61759","0","0","0","0",""
"22551","0","688257","1100813","First Texas Bank","Killeen","TX","76542","9/30/2018","11/14/2018","NM","3514 South Ws Young Drive","FIRST TEXAS BANCORP, INC.","6","0","0","7","0","Bell","28660","Killeen-Temple, TX","11/16/1977","11/16/1977","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.firsttexasbank.com","148445","148445","0","148445","0","0","0","0","0","0","0","0","0","0","0","","","1000","0","0","0","0","0","0","0","0","0","0","134864","13581","148446","0","0","0","0",""
"13905","12043","388155","1141227","First Texoma National Bank","Durant","OK","74701","9/30/2018","11/14/2018","N","220 West Main Street","FNB FINANCIAL SERVICES, INC.","6","0","1","4","0","Bryan","","","7/8/1898","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.ftnb.net","20164","6654","0","6654","13510","0","0","0","0","0","0","0","0","0","0","","","6836","4448","2495","2495","0","1953","1953","0","0","0","0","0","20164","20163","1250","1227","0","0",""
"8333","52582","570651","1054895","First Tri County Bank","Swanton","NE","68445","9/30/2018","11/14/2018","NM","105 Main St.","SWANTON AGENCY, INC.","2","0","0","2","0","Saline","","","4/1/1894","1/1/1934","6/3/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","www.ftcb1.com","3137","2425","0","2425","712","0","0","0","0","0","0","0","0","0","0","","","2025","0","0","0","0","0","0","0","0","0","0","3137","0","3137","0","0","0","0",""
"5754","15345","583138","1125487","First Trust & Savings Bank of Albany, Illinois","Albany","IL","61230","9/30/2018","11/14/2018","NM","209 South Main Street","ALBANY BANCSHARES, INC.","4","0","0","8","1","Whiteside","","","1/1/1902","1/1/1934","7/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.efirsttrust.com","24682","14152","0","14152","10530","0","0","0","0","0","0","0","0","0","0","","","15482","13762","10245","10245","0","2546","2546","0","971","0","971","0","24682","24682","0","0","0","0",""
"10123","14540","84046","0","First Trust and Savings Bank","Coralville","IA","52241","9/30/2018","11/14/2018","NM","1831 Second Street","","2","0","0","2","0","Johnson","26980","Iowa City, IA","4/15/1931","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.ft-sb.com","34103","11919","0","11919","18723","2914","0","0","0","0","2914","547","0","0","0","","","19313","11710","880","880","0","10830","10830","0","0","0","0","0","34103","34103","250","248","0","0",""
"8752","12271","640442","1206014","First Trust and Savings Bank","Wheatland","IA","52777","9/30/2018","11/14/2018","NM","123 S. Main St.","WHEATLAND BANCORPORATION","6","0","0","2","1","Clinton","","","1/1/1905","1/1/1934","12/14/2007","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.firsttrustsavings.com","6788","0","0","0","6788","0","0","0","0","0","0","0","0","0","0","","","0","0","0","0","0","0","0","0","0","0","0","0","6788","6788","0","0","0","0","0"
"34778","0","2718596","3249109","First Trust Bank of Illinois","Kankakee","IL","60901","9/30/2018","11/14/2018","NM","275 East Court Street","FIRST TRUST FINANCIAL CORP.","4","0","0","4","0","Kankakee","28100","Kankakee, IL","7/30/1998","7/30/1998","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.firsttrustbankil.com","94691","54680","0","54680","40011","0","0","0","0","0","0","0","0","0","0","","","56905","54217","32379","32379","0","12418","12418","0","9420","4738","4682","0","94691","94691","463","463","0","0","0"
"15472","0","1011955","1140266","First United Bank","Park River","ND","58270","9/30/2018","11/14/2018","NM","503 Briggs Avenue South","FIRST HOLDING COMPANY OF PARK RIVER, INC","9","0","0","2","1","Walsh","","","1/1/1886","1/1/1934","5/13/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.firstunitedonline.com","47800","19796","0","19796","25952","252","0","0","0","0","252","0","1800","1800","0","","","20573","19052","6621","6621","0","10948","10948","0","1483","0","1483","4641","43159","45992","0","0","0","0",""
"12769","15741","578255","1108163","First United Bank","Dimmitt","TX","79027","9/30/2018","11/14/2018","NM","201 North Broadway","PLAINS BANCORP, INC.","17","0","0","2","1","Castro","","","3/7/1907","1/1/1934","1/1/2007","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.firstunited.net","297096","256347","0","256347","40749","0","0","0","0","0","0","0","0","0","0","","","198835","169639","117461","117461","0","49503","49503","0","2675","0","2675","25139","271957","297096","0","0","0","0","0"
"4857","10579","61122","1132672","First United Bank & Trust","Oakland","MD","21550","9/30/2018","11/14/2018","NM","19 South Second Street","FIRST UNITED CORPORATION","24","0","1","4","0","Garrett","","","1/1/1900","1/1/1934","6/6/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.mybank.com","217183","186412","0","186412","29389","1382","0","0","0","1382","0","0","0","0","0","","","122257","139004","44914","44914","0","39891","39891","0","54199","16569","37630","93725","123458","217184","10000","9754","0","0","0"
"4239","12231","509950","1058398","First United Bank and Trust Company","Durant","OK","74701","9/30/2018","11/14/2018","NM","1400 West Main Street","DURANT BANCORP, INC.","69","0","1","4","1","Bryan","","","1/1/1900","1/1/1934","11/10/2016","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","0","www.firstunitedbank.com","973885","621779","0","621779","338068","13995","0","13995","0","0","0","0","43","43","0","","","731437","455821","421278","421278","0","20548","20548","0","13995","0","13995","0","973885","973844","0","0","0","0","0"
"34150","0","2356091","2356082","First United Bank and Trust Company","Madisonville","KY","42431","9/30/2018","11/14/2018","NM","162 North Main Street","FIRST UNITED BANCORP, INC.","4","0","0","4","1","Hopkins","","","3/29/1996","3/29/1996","11/4/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","www.efirstunitedbank.com","69158","47778","0","47778","21380","0","0","0","0","0","0","0","0","0","0","","","62293","30737","12553","12553","0","18184","18184","0","0","0","0","0","69158","69158","0","0","0","0",""
"7886","12526","127224","2687601","First United National Bank","Fryburg","PA","16326","9/30/2018","11/14/2018","N","19535 Route 208","FRYBURG BANKING COMPANY, INC.","6","0","0","6","0","Clarion","","","8/2/1909","1/1/1934","2/20/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","www.fun-bank.com","55694","41517","0","41517","13435","249","0","0","0","0","249","493","0","0","0","","","15137","8761","4943","4943","0","3818","3818","0","0","0","0","0","55694","55696","0","0","0","0",""
"17077","10112","259330","1086168","First US Bank","Birmingham","AL","35243","9/30/2018","11/14/2018","NM","3291 U.S. Hwy. 280, Ste 100","FIRST US BANCSHARES, INC.","20","0","1","4","0","Clarke","","","1/21/1952","1/21/1952","8/31/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","http://www.firstusbank.com","159496","148026","80","147946","6905","4565","45","0","4520","0","0","0","0","0","0","","","55875","139586","70660","70660","0","65517","65472","45","3409","3374","35","22238","137258","159496","6399","6105","0","0","0"
"22738","0","207872","1027992","First Utah Bank","Salt Lake City","UT","84109","9/30/2018","11/14/2018","SM","3826 South 2300 East","FIRST UTAH BANCORPORATION","6","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","10/19/1978","10/19/1978","3/31/2006","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://firstutahbank.com","27612","27612","0","27612","0","0","0","0","0","0","0","0","0","0","0","","","27612","27612","11927","11927","0","13065","13065","0","2620","0","2620","16517","11095","27614","0","0","0","0",""
"58201","0","3350658","4547286","First Vision Bank of Tennessee","Tullahoma","TN","37388","9/30/2018","11/14/2018","SM","1401 North Jackson Street","FIRST VISION FINANCIAL, INC.","4","0","0","4","0","Coffee","","","11/28/2005","11/28/2005","1/10/2008","Stock","0","0","FED","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","http://www.firstvisionbank.com","18540","8613","0","8613","9927","0","0","0","0","0","0","0","0","0","0","","","9500","3106","3106","3106","0","0","0","0","0","0","0","0","18540","18540","4491","4417","0","0",""
"10307","10396","234739","1081716","First Volunteer Bank","Chattanooga","TN","37402","9/30/2018","11/14/2018","NM","728 Broad Street","FIRST VOLUNTEER CORPORATION","24","0","1","4","0","Hamilton","16860","Chattanooga, TN-GA","5/3/1904","1/1/1934","7/28/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.firstvolunteer.com","29974","28101","0","28101","290","1518","0","0","0","0","1518","0","65","65","0","","","27353","13069","1314","1314","0","11755","11755","0","0","0","0","0","29974","29908","7075","7012","0","0","0"
"13083","14048","34742","2628994","First Western Bank","Booneville","AR","72927","9/30/2018","11/14/2018","SM","80 W Main St","FIRST WESTERN BANCSHARES EMPLOYEE STOCK OWNERSHIP TRUST","10","0","0","4","0","Logan","","","4/18/1910","1/1/1934","5/27/2015","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","http://www.fwbank.com","29147","26110","0","26110","3037","0","0","0","0","0","0","0","0","0","0","","","5500","12289","12289","12289","0","0","0","0","0","0","0","0","29147","29147","0","0","0","0",""
