cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eintexp,edepdom,edepfor,efrepp,ettlotmg,IDEOTHINT,esubnd
"14597","11083","86349","1099805","The Union Bank of Mena","Mena","AR","71953","9/30/2018","11/14/2018","SM","303 Highway 71 North","UNION BANKSHARES, INC.","3","0","0","8","1","Polk","","","7/25/1934","7/26/1934","6/22/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","www.unionbankofmena.com","699","685","","12","","2",""
"15326","15707","289225","1071614","The Union Banking Company","West Mansfield","OH","43358","9/30/2018","11/14/2018","NM","105 East Center Street","UNION BANCORP, INC.","2","0","0","7","1","Logan","","","1/1/1928","12/23/1935","5/15/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.bankatubc.com","288","150","","1","","137",""
"1869","12710","227151","3094121","The Union State Bank","Arkansas City","KS","67005","9/30/2018","11/14/2018","SM","127 South Summit Street","DOCKING BANCSHARES, INC.","9","0","0","4","1","Cowley","","","12/30/1908","1/1/1934","7/1/2015","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.myunionstate.com","998","852","","24","","122",""
"18610","13737","736550","1057515","The Union State Bank of Everest","Everest","KS","66424","9/30/2018","11/14/2018","SM","545 Main Street","EVEREST BANCSHARES, INC.","8","0","1","2","1","Brown","","","8/5/1901","11/19/1954","7/11/2015","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.mybankusb.com","1368","1345","","4","","19",""
"32606","8521","1229198","1918120","The University National Bank of Lawrence","Lawrence","KS","66049","9/30/2018","11/14/2018","N","1400 Kasold Drive","LAWRENCE FINANCIAL CORPORATION","1","0","0","4","1","Douglas","29940","Lawrence, KS","11/18/1988","11/18/1988","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","WWW.UNBANK.COM","174","174","","0","","0",""
"13748","14005","313009","2691185","The Upstate National Bank","Ogdensburg","NY","13669","9/30/2018","11/14/2018","N","729 Proctor Ave","K & Z COMPANY LLC, THE","4","0","0","4","0","Saint Lawrence","","","9/27/1922","1/24/1934","1/1/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.upstatebank.com","1029","654","","0","","375",""
"14345","0","420653","1057186","The Valley State Bank","Syracuse","KS","67878","9/30/2018","11/14/2018","SM","110 West Avenue B","VALLEY BANCORP, INC.","2","0","0","2","1","Hamilton","","","7/27/1905","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","http://www.thevalleystatebank.com","1083","801","","7","275","","0"
"15038","0","1005552","1472060","The Valley State Bank","Belle Plaine","KS","67013","9/30/2018","11/14/2018","NM","502 North Merchant Street","MORLEY BANCSHARES CORPORATION","4","0","0","4","0","Sumner","48620","Wichita, KS","1/1/1897","2/28/1935","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.valleystatebank.com","529","467","","0","","62",""
"58615","0","3603961","3939286","The Victory Bank","Limerick","PA","19468","9/30/2018","11/14/2018","NM","548 North Lewis Road","VICTORY BANCORP, INC, THE","2","0","0","4","0","Montgomery","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","1/16/2008","1/16/2008","3/13/2011","Stock","0","0","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","1","http://www.victorybank.com/","1640","1420","","2","218","","0"
"26336","5765","173575","0","The Village Bank","Auburndale","MA","2466","9/30/2018","11/14/2018","SB","307 Auburn Street","","8","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","5/1/1910","8/12/1985","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","http://www.village-bank.com","6524","5601","","0","923","","0"
"10439","0","487843","2746094","The Village Bank","Saint Libory","IL","62282","9/30/2018","11/14/2018","NM","856 Sparta Street","VILLAGE BANCSHARES, INC","3","0","0","8","1","Saint Clair","41180","St. Louis, MO-IL","1/1/1920","1/1/1934","5/14/2007","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","http://www.villagebank.info","116","116","","0","","0",""
"6636","0","754826","1070765","THE VINTON COUNTY NATIONAL BANK","Mc Arthur","OH","45651","9/30/2018","11/14/2018","N","112 West Main Street","COMMUNITY BANCSHARES, INC.","17","0","0","6","0","Vinton","","","1/1/1867","1/1/1934","11/14/2014","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.vintoncountybank.com","3147","3053","","4","90","","0"
"5569","0","548267","3386321","The Waggoner National Bank of Vernon","Vernon","TX","76384","9/30/2018","11/14/2018","N","1818 Texas Street","WAGGONER NATIONAL BANCSHARES, INC.","2","0","0","2","1","Wilbarger","","","7/3/1899","1/1/1934","3/31/2006","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.wnbvernon.com","1367","1311","","9","","47",""
"17982","0","490955","1067943","The Walton State Bank","Walton","KS","67151","9/30/2018","11/14/2018","NM","116 Main St","J & M BANCSHARES, INC.","1","0","0","2","0","Harvey","48620","Wichita, KS","5/27/1907","4/9/1959","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","waltonstatebank.com","16","16","","0","","0",""
