cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"11722","15973","326344","0","The Peoples State Bank of Newton, Illinois","Newton","IL","62448","9/30/2018","11/14/2018","NM","104 West Washington Street","","9","0","0","2","0","Jasper","","","1/1/1875","1/1/1934","4/13/2018","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.psbnewton.com","12360","1876","10484","325","1733","51","495","","1187","6809","3564","907","2338","5083","-13","1183","3887","0","3887","0","3887","191","360","0","3897.27"
"3388","0","8462","2454773","The Perryton National Bank","Perryton","TX","79070","9/30/2018","11/14/2018","N","825 South Main Street","PERRYTON BANCSHARES, INC.","1","0","0","2","1","Ochiltree","","","1/1/1921","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","http://www.perrytonbank.com","4019","447","3572","0","510","0","220","","290","2094","1180","205","709","1988","0","0","1988","0","1988","0","1988","-8","603","0","1988"
"5317","0","257345","1210310","The Peshtigo National Bank","Peshtigo","WI","54157","9/30/2018","11/14/2018","N","250 French Street","PESHTIGO NATIONAL BANCORPORATION, INC.","5","0","0","2","1","Marinette","","","2/4/1901","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.pnbwi.com","5510","626","4884","40","560","0","185","","375","4167","2405","424","1338","1237","0","7","1230","0","1230","0","1230","-22","937","0","1230"
"35075","0","2796277","0","The Philadelphia Trust Company","Philadelphia","PA","19103","9/30/2018","11/14/2018","NM","1760 Market St., 2nd Fl.","","1","0","0","7","0","Philadelphia","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","4/1/1999","4/1/1999","3/31/2006","Stock","0","1","FDIC","DIF","New York","NEW YORK","Philadelphia","Philadelphia","Northeastern","Northeast","0","0","http://philadelphiatrust.com","271","52","219","0","5943","5943","0","0","0","4598","2528","317","1753","1564","0","378","1186","0","1186","0","1186","0","624","-110","1186"
"58374","0","3489035","3812035","The Piedmont Bank","Norcross","GA","30092","9/30/2018","11/14/2018","NM","5100 Peachtree Parkway","PIEDMONT BANCORP, INC.","10","0","0","4","0","Gwinnett","12060","Atlanta-Sandy Springs-Roswell, GA","11/6/2006","11/6/2006","9/6/2017","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","https://piedmont.bank/","33644","5799","27845","765","1649","0","369","","1280","16182","10413","1802","3967","12547","1","3138","9410","0","9410","0","9410","-1","0","167","9409.21"
"9526","14789","674344","2514921","The Pineries Bank","Stevens Point","WI","54481","9/30/2018","11/14/2018","NM","3601 Main Street","PINERIES BANKSHARES, INC.","1","0","0","8","1","Portage","","","6/1/1906","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","http://www.pineries.com","2546","351","2195","27","100","0","36","","64","1345","723","148","474","923","0","0","923","0","923","0","923","34","307","0","923"
"27847","384","643274","0","The Pioneer Savings Bank","Cleveland","OH","44102","9/30/2018","11/14/2018","NM","6701 Detroit Avenue","","1","0","0","8","0","Cuyahoga","17460","Cleveland-Elyria, OH","1/1/1922","6/2/1938","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.psb1922.com","1146","310","836","0","87","0","2","","85","746","456","43","247","177","0","0","177","0","177","0","177","-14","6","0","177"
"18089","0","300456","1058389","The Piqua State Bank","Piqua","KS","66761","9/30/2018","11/14/2018","NM","1356 Xylan Road","MY ANNS CORPORATION","3","0","0","2","0","Woodson","","","1/1/1910","10/6/1959","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.piquastatebank.com","852","37","815","0","149","0","49","","100","755","385","65","305","209","1","72","138","0","138","0","138","-23","0","0","137.21"
"34599","0","2649177","0","The Pitney Bowes Bank, Inc.","Salt Lake City","UT","84106","9/30/2018","11/14/2018","NM","1245 E Brickyard Rd, # 250","","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","1/16/1998","1/16/1998","8/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","","58317","574","57743","4104","13755","0","1651","0","12104","2615","1451","102","1062","64779","-125","15234","49420","0","49420","0","49420","3848","49393","0","49518.75"
"26393","1219","1000276","0","The Pittsfield Co-operative Bank","Pittsfield","MA","1201","9/30/2018","11/14/2018","SB","70 South Street","","4","0","0","5","0","Berkshire","38340","Pittsfield, MA","1/1/1889","10/8/1985","3/31/2006","Non-Stock","0","0","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.pittsfield-coop.com","8337","1106","7231","276","1555","0","227","","1328","6128","3392","696","2040","2382","-37","507","1838","0","1838","0","1838","228","0","0","1867.23"
"18118","14590","302553","4552981","The Plains State Bank","Plains","KS","67869","9/30/2018","11/14/2018","NM","411 Grand Ave","PLAINS BANCSHARES, INC.","5","0","0","4","1","Meade","","","1/1/1906","11/25/1959","6/16/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.plainsstatebank.com","3900","653","3247","52","976","0","94","0","882","3221","1767","397","1057","950","0","3","947","0","947","0","947","15","5000","0","947"
"847","15579","8631","2728447","The Pleasants County Bank","Saint Marys","WV","26170","9/30/2018","11/14/2018","SM","215 Washington Street","PLEASANTS COUNTY BANKSHARES, INC.","2","0","0","8","0","Pleasants","","","12/21/1896","1/1/1934","10/10/2017","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.pcbsm.com","1720","98","1622","0","189","0","29","","160","1372","693","173","506","439","0","96","343","0","343","0","343","0","120","0","343"
"11952","13741","851239","2152734","The Poca Valley Bank, Inc.","Walton","WV","25286","9/30/2018","11/14/2018","NM","7033 Charleston Road","POCA VALLEY BANKSHARES, INC., THE","7","0","0","4","0","Roane","","","9/24/1908","1/1/1934","9/20/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.pocavalleybank.com","11313","945","10368","300","3202","0","899","","2303","10773","5659","1325","3789","2497","6","530","1973","0","1973","0","1973","696","1723","0","1968.26"
"16483","12976","808448","0","The Poplar Grove State Bank","Poplar Grove","IL","61065","9/30/2018","11/14/2018","NM","109 North State Street","","2","0","0","7","1","Boone","40420","Rockford, IL","9/14/1946","9/14/1946","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","poplargrovestatebank.com","2084","91","1993","0","284","0","70","","214","1061","633","68","360","1216","10","0","1226","0","1226","0","1226","8","360","0","1216"
"14999","16104","779641","0","The Port Austin State Bank","Port Austin","MI","48467","9/30/2018","11/14/2018","NM","62 East State Street","","1","0","0","8","1","Huron","","","1/1/1884","1/22/1935","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.portaustinbank.com","1452","105","1347","45","35","0","19","","16","813","457","58","298","524","0","0","524","0","524","0","524","42","248","0","524"
"8698","13894","937740","1208577","The Port Washington State Bank","Port Washington","WI","53074","9/30/2018","11/14/2018","NM","206 North Franklin Street","PORT BANCSHARES, INC.","7","0","0","4","0","Ozaukee","33340","Milwaukee-Waukesha-West Allis, WI","9/11/1899","1/1/1934","2/19/2007","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","https://www.pwsb.com","16030","2121","13909","197","2203","0","468","","1735","10704","6274","1391","3039","5211","6","1253","3964","0","3964","0","3964","406","750","0","3959.26"
"17205","0","736158","2046516","The Potter State Bank of Potter","Potter","NE","69156","9/30/2018","11/14/2018","NM","Front And Chestnut","ENEVOLDSEN MANAGEMENT COMPANY","2","0","0","2","0","Cheyenne","","","3/19/1945","4/13/1953","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.potterstatebank.com","1176","126","1050","0","114","0","50","","64","815","517","112","186","349","0","55","294","0","294","0","294","-4","0","0","294"
"90141","11438","375502","2838159","The Provident Bank","Amesbury","MA","1913","9/30/2018","11/14/2018","SB","5 Market Street","PROVIDENT BANCORP","8","0","1","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1828","7/1/1985","4/13/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.theprovidentbank.com","31057","3784","27273","2715","3404","0","1209","0","2195","19238","12583","1683","4972","8724","0","2254","6470","0","6470","0","6470","1338","0","1158","6470"
"12594","11833","106452","1022997","The Pueblo Bank and Trust Company","Pueblo","CO","81003","9/30/2018","11/14/2018","NM","301 West 5th Street","PUEBLO BANCORPORATION","9","0","0","4","1","Pueblo","39380","Pueblo, CO","1/1/1889","1/1/1934","9/29/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.pbandt.bank","10624","239","10385","0","3287","410","798","","2079","9563","5290","1165","3108","4109","0","0","4109","0","4109","0","4109","-84","2116","0","4109"
"6990","0","287007","0","The Putnam County National Bank of Carmel","Carmel","NY","10512","9/30/2018","11/14/2018","N","43 Gleneida Avenue","","6","0","0","4","0","Putnam","35620","New York-Newark-Jersey City, NY-NJ-PA","1/1/1865","1/1/1934","6/2/2010","Stock","0","1","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.pcnb.biz","3712","182","3530","-376","139","0","70","","69","2638","1319","442","877","1407","0","158","1249","0","1249","0","1249","-2","0","0","1249"
"8816","14071","429021","2618614","The Queenstown Bank of Maryland","Queenstown","MD","21658","9/30/2018","11/14/2018","NM","7101 Main Street","QUEENSTOWN BANCORP OF MARYLAND, INC.","8","0","0","4","0","Queen Annes","12580","Baltimore-Columbia-Towson, MD","1/1/1899","1/1/1934","5/8/2017","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","http://www.queenstownbank.com","15705","1585","14120","300","926","0","475","","451","7357","4527","780","2050","7389","0","1976","5413","0","5413","0","5413","-242","2119","0","5413"
"2228","9902","548052","2043346","The Rawlins National Bank","Rawlins","WY","82301","9/30/2018","11/14/2018","N","220 Fifth Street","CARBON COUNTY HOLDING COMPANY","5","0","1","4","1","Carbon","","","1/1/1898","1/1/1934","12/31/2017","Stock","0","1","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Kansas City","Western","West","0","1","http://www.rnbonline.com","5123","333","4790","126","578","0","203","","375","4509","2465","546","1498","733","0","0","733","0","733","0","733","-17","300","0","733"
