cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"34610","0","2615220","2615239","Community First Banking Company","West Plains","MO","65775","9/30/2018","11/14/2018","NM","1330 Southern Hills Center","COMMUNITY BANCSHARES OF WEST PLAINS, INC","4","0","0","2","1","Howell","","","11/13/1997","11/13/1997","2/19/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","www.cfbankco.com","0.192806589909788","0.256396894053885","0","0.352851420942209","0","9.53648259037481E-02","0","0.096151696071197","0","0","","0","0","0","","0"
"35585","0","2907019","2948517","Community First National Bank","Manhattan","KS","66502","9/30/2018","11/14/2018","N","215 South Seth Child Road","TTAC CORP.","3","0","1","4","0","Riley","31740","Manhattan, KS","2/1/2001","2/1/2001","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.cfnbmanhattan.com","0.455951239025985","0","0","0","0","0","0","0","3.33016175071361","0","","0","0","0","","0"
"25665","13515","354552","1067532","Community National Bank","Seneca","KS","66538","9/30/2018","11/14/2018","N","210 Main Street","COMMUNITY BANCSHARES, INC.","4","0","0","2","1","Nemaha","","","10/4/1984","10/4/1984","11/7/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","www.communitynationalbank.net","1.3355080737237","1.55190222069203","0","0","0","0","0","0","0","0","","0","0","0","","0"
"6271","9996","270504","1115040","Community National Bank","Derby","VT","5829","9/30/2018","11/14/2018","N","4811 U.S. Route 5","COMMUNITY BANCORP","12","0","0","4","0","Orleans","","","1/15/1851","1/1/1934","1/1/2017","Stock","0","1","OCC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.communitynationalbank.com","1.04137454664541","1.24039868324799","0.707829685288032","0.87113532691333","0.37593984962406","1.66822173564453","1.01210869053535","1.81154452594776","8.83894949690637E-02","0.193715023676281","","0.193715023676281","0","0.215414073719483","","8.34990059642147"
"19272","13129","785932","0","Community National Bank","Dayton","TN","37321","9/30/2018","11/14/2018","N","1271 Market St","","6","0","1","4","1","Rhea","","","10/27/1964","10/27/1964","2/28/2009","Stock","0","0","OCC","DIF","Dallas","DALLAS","Knoxville","Atlanta","Southern","Southeast","0","1","www.cnb-usa.com","1.98946220930233","2.1343339079877","0.362147693276649","1.69179845531445","1.16568914956012","3.73624612755048","0","3.89379053132567","0.260258523466644","1.78962746530314","","1.78962746530314","1.62810625535561","1.90961171228517","0","0"
"57395","0","3121308","0","Community National Bank","Monett","MO","65708","9/30/2018","11/14/2018","N","901 East Highway 60","","3","0","0","4","1","Barry","","","9/5/2002","9/5/2002","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","http://cnbbanking.com","2.91198524594142E-02","3.18263795219981E-02","0","0","","8.98895642496362E-02","0","9.56501935777727E-02","0","0","","0","0","0","","0"
"23431","0","643452","2412773","Community National Bank","Hondo","TX","78861","9/30/2018","11/14/2018","N","1502 Avenue M","MEDINA COMMUNITY BANCSHARES, INC.","4","0","0","4","1","Medina","41700","San Antonio-New Braunfels, TX","4/20/1981","4/20/1981","5/29/2015","Stock","0","0","OCC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.cnbanktx.com","0.135237162840478","0.106340389330931","0","0","0","0.536345280161535","","0.536345280161535","0.370653003379483","0.11568718186025","","0.11568718186025","0.393081761006289","0","0","0"
"24897","0","293053","2868950","Community National Bank","Midland","TX","79701","9/30/2018","11/14/2018","N","401 W. Texas Avenue","MIDLAND BANCSHARES, INC.","10","0","0","4","0","Midland","33260","Midland, TX","1/3/1984","1/3/1984","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","http://www.CNBTX.NET","1.38054445450795","0.71865968566816","0","1.10761994180696","0","0.821966552010438","0","0.843835616438356","2.61274068056913","0","","0","0","0","0","0"
"27046","11836","923752","1247398","Community National Bank & Trust","Chanute","KS","66720","9/30/2018","11/14/2018","N","14 North Lincoln Avenue","COMMUNITY BANCORP, INC.","34","0","1","4","0","Neosho","","","9/4/1987","9/4/1987","6/2/2018","Stock","0","1","OCC","DIF","Kansas City","KANSAS CITY","Springfield Mo","Kansas City","Western","Western","0","1","http://www.mybankcnb.com","1.12192265741315","1.4866958169316","0","1.2325292547243","0","0.648423001437479","0.409478418473518","0.665389271789592","0.316791940498209","6.03263656381021E-03","0","6.41190048730444E-03","0","2.21092195445501E-02","","0"
"18185","10303","738769","1104017","Community National Bank & Trust of Texas","Corsicana","TX","75110","9/30/2018","11/14/2018","N","321 North 15th Street","COMMUNITY BANK HOLDINGS OF TEXAS, INC.","14","0","0","4","0","Navarro","","","1/1/1934","4/29/1960","4/11/2016","Stock","0","1","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","WWW.MYBANKTX.COM","0.385058436970469","0.444695469396801","2.39974385655967","2.43856768984903E-02","0","0.287874881842399","0","0.291209388242964","5.76119832925248E-02","0.111389585073796","","0.111389585073796","3.42289919561869E-02","0.202839756592292","","0"
