cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"30619","5642","416272","0","Abbeville First Bank, SSB","Abbeville","SC","29620","9/30/2018","11/14/2018","SB","205 South Main St","","2","0","0","5","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.abbevillefirst.com","17","76435","4353","3468","21458","0","45648","685","0","470","404","0","4102","76435","68018","56684","55306","56684","96.143600599806","0","0","11050","0","284","8417","8417","0","0","0","8417","0","170","0","361","70574","43419","77237.25","77198","38650","76054","2267","2267","0","0","5829","876","11050","0","2970","7880","485","2970","0"
"19795","16035","198149","3612794","AbbyBank","Abbotsford","WI","54405","9/30/2018","11/14/2018","NM","401 East Spruce Street","ABBY BANCORP, INC.","6","0","0","2","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.abbybank.com","105","497336","16076","7827","68319","0","388211","4292","0","12629","178","2602","9321","497336","454727","424113","363719","424113","89.5944027628354","6245","0","23000","0","1369","42609","42609","0","3000","10027","29582","0","3538","273","1403","464357","129764","483066","497679","419870","494737","6316","6316","0","0","48694","837","23000","1027","52083","43853","4305","52083","3173"
"26549","0","117672","0","Abington Bank","Abington","MA","2351","9/30/2018","11/14/2018","SM","6 Harrison Avenue","","3","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","2/12/1986","10/1/2017","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.theabingtonbank.com","52","308846","10526","8873","33205","2958","240014","1519","0","6074","0","2470","13599","308846","276058","263224","219860","263224","84.2959445341438","0","0","11400","0","1434","32788","32788","0","0","0","32788","0","1818","0","1160","285050","144668","310185","311102","217134","308860","8037","8037","0","0","18216","185","11400","0","38283","31348","1664","38283","0"
"19600","0","535753","2107707","Academy Bank, National Association","Kansas City","MO","64154","9/30/2018","11/14/2018","N","8551 N Boardwalk Avenue","DICKINSON FINANCIAL CORPORATION II","74","0","1","4","0","Platte","28140","Kansas City, MO-KS","6/15/1966","6/15/1966","5/1/2017","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.academybank.com","566","1337594","125869","88705","163819","0","1005437","14124","0","12953","94","3338","26084","1337594","1119903","1013231","773569","1013231","81.3556247424388","6003","0","90054","0","10615","217691","217691","0","12400","186099","19192","0","9903","0","4228","1257961","474912","1304398.5","1318747","1107146","1306686","0","0","0","0","78514","14343","90054","3744","247569","218348","13846","247569","12498"
"4061","13760","266253","1055708","ACB Bank","Cherokee","OK","73728","9/30/2018","11/14/2018","NM","323 S Grand Street","ALFALFA COUNTY BANCSHARES, INC.","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.acbbank.net","23","132498","2336","252","19501","479","102697","1627","0","1400","45","0","6040","132498","121169","101238","82532","101238","81.8992499852359","0","0","19183","0","748","11329","11329","0","300","3792","7237","0","2496","0","2354","122929","31023","126545","131162.5","115502","131889","2050","2050","0","0","23808","0","19183","0","8509","12043","1446","8509","0"
"58727","0","3614837","3637939","Access Bank","Omaha","NE","68114","9/30/2018","11/14/2018","NM","8712 West Dodge Road","3MV BANCORP, INC.","7","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","5/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","WWW.ACCESSBANK.COM","113","527376","37888","30727","43039","0","416386","5611","0","8787","0","12102","9174","527376","460275","449442","294520","449442","56.1791705954562","0","0","7150","0","3683","67101","67101","0","789","55406","10906","0","1146","0","1455","490152","105270","518795","519389","494843","509313","4890","4890","0","0","46608","18530","7150","2747","115069","56218","5611","115069","11704"
"35189","0","2859903","3109904","Access National Bank","Reston","VA","20191","9/30/2018","11/14/2018","N","1800 Robert Fulton Drive, #","ACCESS NATIONAL CORPORATION","15","0","0","4","0","Fairfax","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","12/1/1999","12/1/1999","4/1/2017","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.AccessNationalBank.com","363","3012897","126329","112267","450282","0","2113521","17349","0","27768","643","178754","115600","3012897","2598901","2319391","1554221","2319391","58.6706216833055","37572","0","219989","0","21949","413996","413996","0","5850","303213","104933","0","5529","1332","8577","2676070","1083064","2901228.75","2962381","2294770","2775497","52604","39861","7076","5667","358547","21901","219989","36600","599541","244572","18359","599541","85313"
"58562","0","3535848","4556381","AccessBank Texas","Denton","TX","76201","9/30/2018","11/14/2018","NM","320 W Eagle Drive, # 100","ACCESS BANCORP, INC.","5","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","5/16/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.ACCESSBANKTX.COM","61","371425","8046","3376","60090","10768","269984","3592","0","7552","3026","510","11449","371425","337312","336183","247490","336183","67.1359115036353","0","0","0","0","1129","34113","34113","0","3311","32848","-2046","0","2900","1670","932","344218","69113","358050.75","366026.5","288015","368984","5948","5948","0","0","38946","1658","0","213","58690","35709","3592","58690","2292"
"7506","12499","5210","1117464","ACNB Bank","Gettysburg","PA","17325","9/30/2018","11/14/2018","NM","16 Lincoln Square","ACNB CORPORATION","29","0","1","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","7/1/2017","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","http://www.acnb.com","321","1636026","63696","45551","197486","0","1260144","13414","0","25055","63","15151","74431","1636026","1483101","1359533","1291486","1359533","90.8962240233042","38525","0","74216","0","10827","152925","152925","0","4798","43353","104774","0","6304","0","4737","1503181","492005","1607536.5","1623714.5","1178189","1616536","46242","40137","0","6105","121089","5872","74216","1112","289190","150230","13495","289190","0"
"18489","12279","463650","5006472","Adams Bank & Trust","Ogallala","NE","69153","9/30/2018","11/14/2018","SM","315 North Spruce Street","ADAGE, LLC","19","0","1","2","0","Keith","","","2/26/1962","2/26/1962","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","http://www.abtbank.com","181","786374","23539","14628","27117","0","701548","10848","0","12215","0","0","21955","786374","702536","649157","525081","649157","83.4148556301176","0","0","48001","0","5378","83838","83838","20000","3000","17000","43838","0","2429","519","8070","743293","76446","756614","779204.5","713585","775299","2179","2179","0","0","69457","46","48001","2303","126160","83838","8944","126160","0"
