cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"9024","12454","498625","1357046","Calhoun County Bank, Inc.","Grantsville","WV","26147","9/30/2018","11/14/2018","NM","362 Main Street","CALHOUN BANKSHARES, INC.","4","0","0","5","0","Calhoun","","","1/1/1900","1/1/1934","5/29/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Scott Depot","Richmond","Northeastern","Northeast","0","1","www.calhounbanks.com","118814","118814","114755","0","4059","0","0","0","","48067","38500","70747","4608","34555","31584","80314","39461","79353","110873","107732","7566","0","0","0","",""
"58583","0","3614958","5116344","California Bank of Commerce","Lafayette","CA","94549","9/30/2018","11/14/2018","NM","3595 Mt Diablo Blvd, 2nd Fl","CALIFORNIA BANCORP","3","0","0","4","0","Contra Costa","41860","San Francisco-Oakland-Hayward, CA","7/17/2007","7/17/2007","12/5/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","http://www.californiabankofcommerce.com","828692","828692","793860","0","33500","1332","0","0","","367298","343244","461394","321232","46307","93856","485448","343244","485448","744939","295556","1095","33418","33418","0","",""
"58037","0","3390337","0","California Business Bank","Irvine","CA","92602","9/30/2018","11/14/2018","NM","3200 El Camino Real, # 220","","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","11/1/2005","11/1/2005","12/12/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.californiabusinessbank.com","53228","53228","49987","0","0","3241","0","0","","19629","12202","33599","22629","220","10750","41026","12202","41026","45983","33548","0","0","0","4858","",""
"35331","0","2907439","2907381","California First National Bank","Irvine","CA","92614","9/30/2018","11/14/2018","N","28 Executive Park","CALIFORNIA FIRST NATIONAL BANCORP","1","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","5/23/2001","5/23/2001","11/4/2015","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","www.calfirst.com","156303","156303","152871","0","0","3432","0","0","","4259","3203","152044","53756","2927","95361","153100","3203","153100","131164","139189","14820","0","0","0","",""
"57974","0","3394380","0","California International Bank, N.A.","Rosemead","CA","91770","9/30/2018","11/14/2018","N","8632 E Valley Blvd, # A","","2","0","0","4","0","Los Angeles","31080","Los Angeles-Long Beach-Anaheim, CA","11/30/2005","11/30/2005","9/21/2017","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","1","http://calibankna.com","25240","25240","24006","0","0","1234","0","0","","7986","7892","17254","3819","232","13203","17348","7892","17348","21630","19366","1133","0","0","250","",""
"23242","0","50461","0","California Pacific Bank","San Francisco","CA","94104","9/30/2018","11/14/2018","NM","100 Montgomery St, # 2250","","2","0","0","4","0","San Francisco","41860","San Francisco-Oakland-Hayward, CA","10/16/1980","10/16/1980","8/10/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.calpacificbank.com","38780","38780","36336","0","0","1420","1025","0","","18057","18057","20724","13919","157","6648","20724","17450","21330","34786","24071","437","1174","639","0","",""
"58291","0","3545258","4907219","CalPrivate Bank","La Jolla","CA","92037","9/30/2018","11/14/2018","NM","9404 Genesee Ave, Suite 100","PRIVATE BANCORP OF AMERICA, INC.","5","0","0","4","0","San Diego","41740","San Diego-Carlsbad, CA","12/18/2006","12/18/2006","3/21/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.calprivate.bank","551486","551486","549229","0","2257","0","0","0","","198303","181820","353183","289189","6612","57380","369666","182625","368861","530203","233815","1044","0","0","0","",""
"58670","0","3686982","4767981","Calumet Bank","Lagrange","GA","30241","9/30/2018","11/14/2018","NM","101 Calumet Center Road","LBC BANCSHARES, INC.","2","0","0","4","0","Troup","","","1/23/2008","1/23/2008","7/10/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","http://www.calumetbank.com","204528","204528","167647","0","34829","2052","0","0","","99583","52191","104945","49344","0","55602","152337","30812","173716","189124","129432","5484","0","0","1186","",""
"5874","0","39327","2391300","Calvin B. Taylor Banking Company of Berlin, Maryland","Berlin","MD","21811","9/30/2018","11/14/2018","NM","24 North Main Street","CALVIN B. TAYLOR BANKSHARES, INC.","11","0","1","4","0","Worcester","41540","Salisbury, MD-DE","1/1/1890","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","WWW.TAYLORBANK.COM","475024","475024","464708","0","9763","554","0","0","","52044","48334","422981","61046","318567","43369","426691","177081","297943","470259","396418","11034","0","0","0","",""
"35069","0","2854494","3188860","Calwest Bank","Rancho Santa Mar","CA","92688","9/30/2018","11/14/2018","SM","22342 Avenida Empresa","CALWEST BANCORP","5","0","0","4","0","Orange","31080","Los Angeles-Long Beach-Anaheim, CA","10/21/1999","10/21/1999","3/31/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Orange","San Francisco","Western","Western","0","1","http://www.calwestbancorp.com","174191","174191","158849","0","8973","6369","0","0","","16763","15113","157428","47423","95533","14472","159078","77411","96780","169853","117519","1111","2005","2005","6369","",""
