cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"3405","12836","26765","3551080","Vantage Bank Texas","San Antonio","TX","78216","9/30/2018","11/14/2018","SM","45 Ne Loop 410","VANTAGE BANCORP, INC.","6","0","0","4","0","Bexar","41700","San Antonio-New Braunfels, TX","11/6/1923","1/1/1934","1/27/2015","Stock","0","0","FED","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.vantagebank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58658","0","3626858","3628535","VCC Bank","Richmond","VA","23294","9/30/2018","11/14/2018","SM","7814 Carousel Lane","VIRGINIA COMMUNITY CAPITAL, INC.","2","0","0","4","0","Henrico","40060","Richmond, VA","8/20/2008","8/20/2008","3/7/2018","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.vacommunitycapital.org","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9747","0","804150","2206842","Vergas State Bank","Vergas","MN","56587","9/30/2018","11/14/2018","NM","106 East Main Street","VERGAS BANCORPORATION, INC.","1","0","0","8","0","Otter Tail","","","9/1/1909","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.vergasstatebank.com","3554","598","1508","1448","1689","1064","204","421","1666","318","745","603","1583","765","344","474","27","12","10","5","52","49","2","1","15","8","5","2","46","41","4","1"
"57665","0","3221468","4105266","Veritex Community Bank","Dallas","TX","75225","9/30/2018","11/14/2018","SM","8214 Westchester Drive","VERITEX HOLDINGS, INC.","24","0","0","4","0","Dallas","19100","Dallas-Fort Worth-Arlington, TX","1/23/2004","1/23/2004","12/1/2017","Stock","0","0","FED","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.veritexbank.com","135258","2340","17459","115459","175997","25309","32582","118106","2020","215","1346","459","218","18","200","0","458","39","125","294","1270","698","281","291","19","6","12","1","3","2","1","0"
"17841","11572","754536","1141898","Vermilion Bank & Trust Company","Kaplan","LA","70548","9/30/2018","11/14/2018","NM","420 N Cushing Ave","VERMILION BANCSHARES CORPORATION","3","0","0","4","1","Vermilion","29180","Lafayette, LA","3/8/1958","3/8/1958","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://www.vermilionbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11667","15448","666844","1398991","Vermilion Valley Bank","Piper City","IL","60959","9/30/2018","11/14/2018","NM","4 East Peoria","PIPER BANKSHARES, INC.","5","0","0","2","1","Ford","16580","Champaign-Urbana, IL","7/25/1913","1/1/1934","5/31/2007","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.vermilionvalleybank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10214","15483","208057","1128581","Vermillion State Bank","Vermillion","MN","55085","9/30/2018","11/14/2018","NM","107 E Main St.","VERMILLION BANCSHARES, INC.","6","0","0","4","1","Dakota","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/10/1918","1/1/1934","4/19/2011","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.VERMILLIONBANK.COM","49050","1363","8959","38728","51315","9913","12679","28723","8845","508","3131","5206","8023","1913","2826","3284","205","29","68","108","583","379","112","92","50","13","21","16","91","52","26","13"
"16585","0","187648","0","Vermont State Bank","Vermont","IL","61484","9/30/2018","11/14/2018","NM","106 North Main Street","","1","0","0","6","1","Fulton","","","6/9/1947","6/9/1947","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"28703","2186","402873","0","Versailles Savings and Loan Company","Versailles","OH","45380","9/30/2018","11/14/2018","SA","10413 Kley Road","","1","0","0","5","0","Darke","","","12/13/1887","3/25/1985","7/1/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.versaillessavingsbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"21463","11867","728452","2516587","Verus Bank","Derby","KS","67037","9/30/2018","11/14/2018","SM","1033 North Buckner Street","FIRST TEAM RESOURCES CORPORATION","5","0","0","8","1","Sedgwick","48620","Wichita, KS","3/4/1974","3/4/1974","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.verusbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58025","0","3322468","4136439","Verus Bank of Commerce","Fort Collins","CO","80525","9/30/2018","11/14/2018","SM","3700 S College Ave, Unit 102","VERUS ACQUISITION GROUP, INC.","1","0","0","4","0","Larimer","22660","Fort Collins, CO","6/27/2005","6/27/2005","1/1/2012","Stock","0","0","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","www.verusboc.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"12859","15596","616849","1206779","Victor State Bank","Victor","IA","52347","9/30/2018","11/14/2018","NM","201 Washington Street","CHEBELLE CORPORATION","1","0","0","7","1","Iowa","","","4/11/1928","1/1/1934","6/6/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://victorstatebank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57277","17868","3153345","0","Victory Community Bank","Fort Mitchell","KY","41017","9/30/2018","11/14/2018","SA","2500 Chamber Ctr Drive, # 10","","3","0","0","5","1","Kenton","17140","Cincinnati, OH-KY-IN","12/9/2002","12/9/2002","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.victorycommunitybank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34565","0","2631323","3165508","Victory State Bank","Staten Island","NY","10308","9/30/2018","11/14/2018","NM","4142 Hylan Boulevard","VSB BANCORP, INC.","5","0","0","4","0","Richmond","35620","New York-Newark-Jersey City, NY-NJ-PA","11/14/1997","11/14/1997","8/6/2010","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.victorystatebank.com","17665","145","1513","16007","18109","8063","6824","3222","0","0","0","0","0","0","0","0","53","2","13","38","385","326","51","8","0","0","0","0","0","0","0","0"
"29772","4067","126375","0","Vidalia Federal Savings Bank","Vidalia","GA","30474","9/30/2018","11/14/2018","SA","300 Jackson Street","","2","0","0","7","0","Toombs","","","9/1/1936","10/2/1936","7/21/2011","Non-Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","0","1","HTTP://WWW.VIDFEDONLINE.COM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
